"URL","File Size (Bytes)","# Outlinks","Content Type"
"https://www.usatoday.com/money/blueprint/banking/how-to-talk-to-your-spouse-about-money/","537305","292","text/html"
"https://www.usatoday.com/money/blueprint/images/uploads/2023/02/14072449/GettyImages-946920102-e1676483916634.jpg","34040","0","image/jpeg"
"https://www.usatoday.com/money/blueprint/author/jennjones/","478311","252","text/html"
"https://www.usatoday.com/money/blueprint/images/uploads/2023/01/14155303/GettyImages-e1676389983507.jpg","50709","0","image/jpeg"
"https://www.usatoday.com/money/blueprint/images/uploads/2023/02/20132011/GettyImages-1364427571.jpg","48030","0","image/jpeg"
"https://www.usatoday.com/money/blueprint/images/uploads/2023/02/15092924/GettyImages-183760773-e1676453398476.jpg","42085","0","image/jpeg"
"https://www.usatoday.com/money/blueprint/author/cfried/","473573","250","text/html"
"https://www.usatoday.com/money/blueprint/wp-content/uploads/2023/01/Million_dollars-e1674770848724.jpeg","325671","0","image/jpeg"
"https://www.usatoday.com/money/blueprint/author/zkumok/","479254","257","text/html"
"https://www.usatoday.com/money/blueprint/banking/talk-to-kids-about-money/","538247","292","text/html"
"https://www.usatoday.com/money/blueprint/banking/what-is-a-debit-card/","550957","298","text/html"
"https://www.usatoday.com/money/blueprint/images/uploads/2023/02/15235110/financial-benefits-of-marriage.jpg","98284","0","image/jpeg"
"https://www.usatoday.com/money/blueprint/images/uploads/2023/02/14105212/Credit-Drazen-Zigic-1-3-e1676483602779.jpg","48101","0","image/jpeg"
"https://www.usatoday.com/money/blueprint/author/jamiejohnson/","477339","254","text/html"
"https://www.usatoday.com/money/blueprint/banking/what-is-a-wire-transfer/","562826","304","text/html"
"https://www.usatoday.com/money/blueprint/author/jegan/","474304","250","text/html"
"https://www.usatoday.com/money/blueprint/banking/what-is-private-banking/","553074","301","text/html"
"https://www.usatoday.com/money/blueprint/banking/what-is-a-bank/","546034","298","text/html"
"https://www.usatoday.com/money/blueprint/author/llombardi/","478284","254","text/html"
"https://www.usatoday.com/money/blueprint/images/uploads/2023/02/07111146/GettyImages-1365611122-e1676485526555.jpg","55691","0","image/jpeg"
"https://www.usatoday.com/story/news/politics/2022/11/30/stewart-rhodes-seditious-conspiracy-verdict-meaning/10802250002/","195945","169","text/html"
"https://www.usatoday.com/picture-gallery/news/politics/2022/01/06/jan-6-capitol-attack-riot-one-year-later-events-mark-deadly-insurrection/9114166002/","157750","179","text/html"
"https://www.usatoday.com/story/news/local/arizona/2021/11/17/jake-angeli-jacob-chansley-qanon-shaman-sentenced-role-jan-6-raid/6403194001/","206082","173","text/html"
"https://www.usatoday.com/picture-gallery/news/politics/2021/01/07/photos-damage-inside-us-capitol/6576121002/","155910","179","text/html"
"https://www.usatoday.com/storytelling/capitol-riot-mob-arrests/","1048576","305","text/html"
"https://www.usatoday.com/staff/6140582002/will-carless/","161702","186","text/html"
"https://www.usatoday.com/story/news/nation/2023/01/06/proud-boys-oath-keepers-qanon-two-years-after-jan-6/10998158002/","189894","171","text/html"
"https://www.usatoday.com/picture-gallery/news/politics/2022/01/03/jan-6-insurrection-photos-capitol-riot/9052798002/","150640","179","text/html"
"https://www.usatoday.com/story/news/politics/county/2018/08/15/plaintiffs-dont-vacate-federal-judgment-in-ocala-prayer-vigil-suit/11043961007/","166511","165","text/html"
"https://www.usatoday.com/picture-gallery/news/nation/2022/10/11/2022-united-states-supreme-court-justices/10462873002/","144670","179","text/html"
"https://www.usatoday.com/story/news/politics/2022/06/21/supreme-court-schools-teaching-religion-cant-denied-state-aid/7219395001/","200130","165","text/html"
"https://www.usatoday.com/story/news/politics/2022/04/25/supreme-court-school-prayer-coach/7438478001/","203164","169","text/html"
"https://www.usatoday.com/story/news/politics/courts/2022/08/06/ocala-florida-asks-supreme-court-hear-prayer-vigil-lawsuit/10255884002/","179057","165","text/html"
"https://www.usatoday.com/story/news/politics/2022/06/27/supreme-court-football-coach-joseph-kennedy-prayers/7603448001/","206959","174","text/html"
"https://www.usatoday.com/story/news/politics/2022/09/30/supreme-courts-tracker-list-of-cases-term/8060925001/","275718","208","text/html"
"https://www.usatoday.com/staff/2647507001/john-fritze/","163115","186","text/html"
"https://www.usatoday.com/story/news/politics/2020/01/28/impeachment-trial-highlights-trump-defense-teams-arguments/4597810002/","188286","167","text/html"
"https://www.usatoday.com/story/life/food-dining/2023/02/20/buffalo-chicken-taco-recipe/10921399002/","174633","167","text/html"
"https://www.usatoday.com/story/life/2020/05/05/cinco-de-mayo-margarita-origin/3049019001/","189668","168","text/html"
"https://www.usatoday.com/story/money/food/2023/02/09/chick-fil-a-cauliflower-sandwich-new/11205023002/","178632","166","text/html"
"https://www.usatoday.com/story/money/food/2023/03/01/chipotle-menu-new-quesadillas-fajitas-keithadilla/11368634002/","174541","165","text/html"
"https://www.usatoday.com/story/life/food-dining/2022/11/06/how-make-beef-stew-ultimate-recipe/8270391001/","200001","164","text/html"
"https://www.usatoday.com/story/money/food/2023/02/14/drink-mashup-pepsi-and-peeps-team-up-marshmallow-cola/11255311002/","163439","164","text/html"
"https://www.usatoday.com/story/travel/2023/02/24/wagners-village-inn-oldenburg-indiana-fried-chicken-james-beard-award/11338550002/","165431","163","text/html"
"https://www.usatoday.com/story/money/2023/02/28/four-black-owned-bakeries-serving-historic-recipes-modern-twist/11155053002/","191197","164","text/html"
"https://www.usatoday.com/story/life/food-dining/2023/02/08/super-bowl-steak-pinwheels-pat-lafrieda-recipe/11171099002/","168801","175","text/html"
